Configuration	HFT-Core-Module_TrueSTUDIO
STM32CubeMX 	4.26.0
Date	07/25/2018
MCU	STM32L496ZGTxP



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN8 Single-ended	ADC1_IN8	PA3
ADC1	Temperature Sensor Channel	ADC1_TempSens_Input	VP_ADC1_TempSens_Input
ADC1	Vbat Channel	ADC1_Vbat_Input	VP_ADC1_Vbat_Input
ADC1	Vrefint Channel	ADC1_Vref_Input	VP_ADC1_Vref_Input
ADC1	Regular and Injected Conversion Trigger	ADC1_EXTI11	PF11
ADC1	Regular and Injected Conversion Trigger	ADC1_EXTI15	PF15
ADC2	IN9 Single-ended	ADC2_IN9	PA4
ADC2	Regular Conversion Trigger	ADC2_EXTI11	PF11
ADC3	IN6 Single-ended	ADC3_IN6	PF3
ADC3	Injected Conversion Trigger	ADC3_EXTI15	PF15
DFSDM1:Channel 0	Parallel input	DFSDM1_VS_IN0	VP_DFSDM1_VS_IN0
DFSDM1:Channel 1	Parallel input	DFSDM1_VS_IN1	VP_DFSDM1_VS_IN1
I2C1	I2C	I2C1_SCL	PG14
I2C1	I2C	I2C1_SDA	PG13
I2C2	I2C	I2C2_SCL	PF1
I2C2	I2C	I2C2_SDA	PF0
I2C3	I2C	I2C3_SCL	PG7
I2C3	I2C	I2C3_SDA	PG8
I2C4	I2C	I2C4_SCL	PF14
I2C4	I2C	I2C4_SDA	PD13
RCC	BYPASS Clock Source	RCC_OSC_IN	PH0-OSC_IN (PH0)
RCC	Crystal/Ceramic Resonator	RCC_OSC32_IN	PC14-OSC32_IN (PC14)
RCC	Crystal/Ceramic Resonator	RCC_OSC32_OUT	PC15-OSC32_OUT (PC15)
RCC	Clock-out	RCC_MCO	PA8
RCC	CRS SYNC Source USB	RCC_USB	VP_RCC_USB
RTC	Activate RTC Clock Source	RTC_VS_RTC_Activate	VP_RTC_VS_RTC_Activate
RTC	RTC Enabled	RTC_VS_RTC_Calendar	VP_RTC_VS_RTC_Calendar
RTC	Internal Alarm A	RTC_VS_RTC_Alarm_A_Intern	VP_RTC_VS_RTC_Alarm_A_Intern
RTC	Internal Alarm B	RTC_VS_RTC_Alarm_B_Intern	VP_RTC_VS_RTC_Alarm_B_Intern
RTC	Internal WakeUp	RTC_VS_RTC_WakeUp_intern	VP_RTC_VS_RTC_WakeUp_intern
SAI1:SAI B	Master with Master Clock Out	SAI1_SD_B	PE3
SAI1:SAI B	Master with Master Clock Out	SAI1_SCK_B	PE8
SAI1:SAI B	Master with Master Clock Out	SAI1_FS_B	PE9
SAI1:SAI B	Master with Master Clock Out	SAI1_MCLK_B	PE10
SAI1:SAI B	Basic	SAI1_VP_$IpInstance_SAIB_SAI_BASIC	VP_SAI1_VP_$IpInstance_SAIB_SAI_BASIC
SAI2:SAI A	Asynchronous Slave	SAI2_SD_A	PD11
SAI2:SAI A	Asynchronous Slave	SAI2_SCK_A	PB13
